AssetID,Category,Name,MapOrSystem,Priority,Status,SourcePath,UnityPath,PolyBudget,TextureSet,LOD,Collider,Networked,Reusable,License,Notes
ENV_GROUND_001,Environment,Grass Ground Modules,GardenWedding,Must,Requested,ArtSource/Blender/Environment,Assets/WeddingMayhem/Art/Models/Environment,5000,GardenGround_2K,2,Mesh,No,Yes,Original,Modular lawn and terrain edges
ENV_PATH_001,Environment,Stone Path Modules,GardenWedding,Must,Requested,ArtSource/Blender/Environment,Assets/WeddingMayhem/Art/Models/Environment,4000,GardenGround_2K,2,Mesh,No,Yes,Original,Straight corner and junction pieces
ENV_TENT_001,Environment,Reception Tent,GardenWedding,Must,Requested,ArtSource/Blender/Environment,Assets/WeddingMayhem/Art/Models/Architecture,12000,WeddingArchitecture_2K,3,Compound,No,Yes,Original,Main reception landmark
ENV_ARCH_001,Environment,Ceremony Arch,GardenWedding,Must,Requested,ArtSource/Blender/Environment,Assets/WeddingMayhem/Art/Models/Architecture,6000,WeddingArchitecture_2K,2,Compound,No,Yes,Original,Wind event target
ENV_STAGE_001,Environment,Ceremony Stage,GardenWedding,Must,Requested,ArtSource/Blender/Environment,Assets/WeddingMayhem/Art/Models/Architecture,5000,WeddingArchitecture_2K,2,Box,No,Yes,Original,Supports officiant and microphone
ENV_HEDGE_001,Environment,Hedge Modules,GardenWedding,Should,Requested,ArtSource/Blender/Environment,Assets/WeddingMayhem/Art/Models/Nature,3000,GardenNature_2K,2,Box,No,Yes,Original,Navigation boundary
ENV_TREE_001,Environment,Garden Tree Set,GardenWedding,Should,Requested,ArtSource/Blender/Environment,Assets/WeddingMayhem/Art/Models/Nature,8000,GardenNature_2K,3,Capsule,No,Yes,Original,Three silhouette variants
ENV_POND_001,Environment,Garden Pond,GardenWedding,Should,Requested,ArtSource/Blender/Environment,Assets/WeddingMayhem/Art/Models/Environment,6000,GardenGround_2K,2,Mesh,No,No,Original,Ring loss event location
FUR_CHAIR_001,Furniture,Folding Chair,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/Furniture,1200,WeddingFurniture_2K,1,Box,No,Yes,Original,Color variants use one material
FUR_TABLE_001,Furniture,Round Banquet Table,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/Furniture,1800,WeddingFurniture_2K,1,Cylinder,No,Yes,Original,Seats six NPC guests
FUR_HIGHTABLE_001,Furniture,Cocktail High Table,GardenWedding,Should,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/Furniture,1000,WeddingFurniture_2K,1,Cylinder,No,Yes,Original,Cocktail zone
PROP_CAKE_001,GameplayProp,Wedding Cake,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,2500,WeddingFood_2K,N/A,Compound,Yes,No,Original,Multi-stage damage states
PROP_CAKECART_001,GameplayProp,Cake Cart,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,2200,WeddingFurniture_2K,N/A,Compound,Yes,Yes,Original,Two-player pushing interaction
PROP_RINGBOX_001,GameplayProp,Ring Box,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,800,WeddingSmallProps_1K,N/A,Box,Yes,No,Original,Critical replicated item
PROP_BOUQUET_001,GameplayProp,Wedding Bouquet,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,1800,WeddingFlowers_2K,N/A,Capsule,Yes,Yes,Original,Throwable event item
PROP_MIC_001,GameplayProp,Wireless Microphone,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,700,WeddingSmallProps_1K,N/A,Capsule,Yes,Yes,Original,Drunk guest event target
PROP_BOTTLE_001,GameplayProp,Champagne Bottle,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,900,WeddingFood_2K,N/A,Capsule,Yes,Yes,Original,Reusable beverage base
PROP_GLASS_001,GameplayProp,Champagne Glass,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,500,WeddingFood_2K,N/A,Convex,Yes,Yes,Original,Uses local-only shards
PROP_PLATE_001,GameplayProp,Dinner Plate,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,400,WeddingFood_2K,N/A,Convex,Yes,Yes,Original,Uses local-only shards
PROP_GIFT_001,GameplayProp,Gift Box Set,GardenWedding,Should,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,1000,WeddingSmallProps_1K,N/A,Box,Yes,Yes,Original,Three size variants
PROP_UMBRELLA_001,GameplayProp,Guest Umbrella,GardenWedding,Should,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,1400,WeddingFabric_2K,N/A,Compound,Yes,Yes,Original,Rain response tool
TECH_GENERATOR_001,GameplayProp,Portable Generator,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,3500,WeddingTechnical_2K,N/A,Compound,Yes,Yes,Original,Host-authoritative power state
TECH_POWERBOX_001,GameplayProp,Power Distribution Box,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,1800,WeddingTechnical_2K,N/A,Box,Yes,Yes,Original,Power routing minigame
TECH_CABLE_001,GameplayProp,Power Cable Set,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,1000,WeddingTechnical_1K,N/A,Capsule,Yes,Yes,Original,Use segmented visual cable
TECH_SPEAKER_001,GameplayProp,PA Speaker,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/GameplayProps,2200,WeddingTechnical_2K,N/A,Box,Yes,Yes,Original,Can fall during wind
TECH_LIGHTS_001,Environment,String Lights,GardenWedding,Must,Requested,ArtSource/Blender/Props,Assets/WeddingMayhem/Art/Models/Environment,1600,WeddingTechnical_1K,1,Box,No,Yes,Original,Lighting state driven by power
CHAR_PLAYER_001,Character,Player Base Body,Player,Must,Requested,ArtSource/Blender/Characters,Assets/WeddingMayhem/Art/Characters,18000,CharacterShared_2K,2,Capsule,Yes,Yes,Original,Four color variants for MVP
CHAR_GUEST_001,Character,Adult Guest Base,Guests,Must,Requested,ArtSource/Blender/Characters,Assets/WeddingMayhem/Art/Characters,16000,CharacterShared_2K,2,Capsule,Yes,Yes,Original,Modular hair outfit and accessories
VFX_RAIN_001,VFX,Rain System,Weather,Must,Requested,ArtSource/Textures,Assets/WeddingMayhem/Art/VFX,N/A,N/A,N/A,None,No,Yes,Original,Local particles host weather state
VFX_WIND_001,VFX,Wind Gust Effect,Weather,Must,Requested,ArtSource/Textures,Assets/WeddingMayhem/Art/VFX,N/A,N/A,N/A,None,No,Yes,Original,Pairs with authoritative impulse
VFX_CONFETTI_001,VFX,Confetti Burst,Ceremony,Must,Requested,ArtSource/Textures,Assets/WeddingMayhem/Art/VFX,N/A,WeddingVFX_1K,N/A,None,No,Yes,Original,Local cosmetic effect
SFX_GLASS_001,Audio,Glass Break Set,Interaction,Must,Requested,ArtSource/AudioSessions,Assets/WeddingMayhem/Audio/SFX,N/A,N/A,N/A,None,No,Yes,TBD,Record or licensed source required
AMB_GARDEN_001,Audio,Garden Wedding Day Ambience,GardenWedding,Must,Requested,ArtSource/AudioSessions,Assets/WeddingMayhem/Audio/Ambience,N/A,N/A,N/A,None,No,No,TBD,Loop with wind rain variants
UI_COIN_001,UI,Wedding Coin Icon,Scoring,Must,Requested,ArtSource/Textures,Assets/WeddingMayhem/Art/UI,N/A,UIAtlas_1K,N/A,None,No,Yes,Original,Readable at small size
UI_BETCARD_001,UI,Bet Card Template,Scoring,Must,Requested,ArtSource/Textures,Assets/WeddingMayhem/Art/UI,N/A,UIAtlas_1K,N/A,None,No,Yes,Original,Supports risk reward and cash-out states
